postcode,latitude,longitude,region_2_lc,region_1_en,country_en,country_code,timezone,utc
67027,54.0909,23.8587,Druskininkų sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
67027,54.0909,23.8587,Druskininkų sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
67027,54.0909,23.8587,Druskininkų sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
67027,54.0909,23.8587,Druskininkų sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
67027,54.0909,23.8587,Druskininkų sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
67027,54.0909,23.8587,Druskininkų sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
67027,54.0909,23.8587,Druskininkų sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
67027,54.0909,23.8587,Druskininkų sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
67027,54.0909,23.8587,Druskininkų sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
67027,54.0909,23.8587,Druskininkų sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
67027,54.0909,23.8587,Druskininkų sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
67027,54.0909,23.8587,Druskininkų sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
67027,54.0909,23.8587,Druskininkų sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
67035,54.0,23.65,Druskininkų sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
67035,54.0,23.65,Druskininkų sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
67035,54.0,23.65,Druskininkų sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
67035,54.0,23.65,Druskininkų sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
67035,54.0,23.65,Druskininkų sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
67035,54.0,23.65,Druskininkų sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
67035,54.0,23.65,Druskininkų sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
67035,54.0,23.65,Druskininkų sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
67035,54.0,23.65,Druskininkų sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
67035,54.0,23.65,Druskininkų sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
67035,54.0,23.65,Druskininkų sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
67035,54.0,23.65,Druskininkų sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
67035,54.0,23.65,Druskininkų sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
62001,54.4,24.05,Alytaus r. sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
62001,54.4,24.05,Alytaus r. sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
62001,54.4,24.05,Alytaus r. sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
62001,54.4,24.05,Alytaus r. sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
62001,54.4,24.05,Alytaus r. sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
62001,54.4,24.05,Alytaus r. sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
62001,54.4,24.05,Alytaus r. sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
62001,54.4,24.05,Alytaus r. sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
62001,54.4,24.05,Alytaus r. sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
62001,54.4,24.05,Alytaus r. sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
62001,54.4,24.05,Alytaus r. sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
62001,54.4,24.05,Alytaus r. sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
62001,54.4,24.05,Alytaus r. sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
62001,54.4,24.05,Alytaus r. sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
62001,54.4,24.05,Alytaus r. sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
62001,54.4,24.05,Alytaus r. sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
62001,54.4,24.05,Alytaus r. sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
62001,54.4,24.05,Alytaus r. sav.,Alytus County,Lithuania,LT,Europe/Vilnius,UTC +2.0
