country_en,country_lc,country_code,postal_code,region1_lc,region1_en,region2_lc,region2_en,region3_lc,region3_en,Time Zone ,UTC,Y,X
United Arab Emirates,الإمارات العربية المتحدة ,AE,74301,رأس الخيمة,Ras Al Khaimah,رأس الخيمة شمال,North Ras Al Khaimah,الفلية,Al Felyyah, UAE Standard Time,UTC+4,25.7434259,55.9775459
United Arab Emirates,الإمارات العربية المتحدة ,AE,73303,رأس الخيمة,Ras Al Khaimah,رأس الخيمة شمال,North Ras Al Khaimah,المعيريض,Al Maireed, UAE Standard Time,UTC+4,25.8126463,55.9688981
United Arab Emirates,الإمارات العربية المتحدة ,AE,73702,رأس الخيمة,Ras Al Khaimah,رأس الخيمة شمال,North Ras Al Khaimah,راس الخيمة القديمه,Old Ras Al Khaimah, UAE Standard Time,UTC+4,25.7983649,55.9486972
United Arab Emirates,الإمارات العربية المتحدة ,AE,33328,أبوظبي,Abu Dhabi,العين,Al Ain,الطوية,Al Tiwayya, UAE Standard Time,UTC+4,24.2655182,55.7011693
United Arab Emirates,الإمارات العربية المتحدة ,AE,24075,أبوظبي,Abu Dhabi,أبوظبي,Abu Dhabi,مدينة الرياض,Madinat Al Riyad, UAE Standard Time,UTC+4,24.3342026,54.7706326
United Arab Emirates,الإمارات العربية المتحدة ,AE,20911,أبوظبي,Abu Dhabi,أبوظبي,Abu Dhabi,قرقشان,Qirqishan, UAE Standard Time,UTC+4,24.4320489,54.2790562
United Arab Emirates,الإمارات العربية المتحدة ,AE,77701,رأس الخيمة,Ras Al Khaimah,رأس الخيمة شمال,North Ras Al Khaimah,أعسمة,Aasmah, UAE Standard Time,UTC+4,25.4092475,56.1496677
United Arab Emirates,الإمارات العربية المتحدة ,AE,20981,أبوظبي,Abu Dhabi,أبوظبي,Abu Dhabi,مشيرف,Mshayrif, UAE Standard Time,UTC+4,24.0208154,55.0657885
United Arab Emirates,الإمارات العربية المتحدة ,AE,72513,رأس الخيمة,Ras Al Khaimah,رأس الخيمة شمال,North Ras Al Khaimah,الغب,Al Ghub, UAE Standard Time,UTC+4,25.8047047,56.0000038
United Arab Emirates,الإمارات العربية المتحدة ,AE,24065,أبوظبي,Abu Dhabi,أبوظبي,Abu Dhabi,مدينة الرياض,Madinat Al Riyad, UAE Standard Time,UTC+4,24.3778593,54.7558624
United Arab Emirates,الإمارات العربية المتحدة ,AE,24253,أبوظبي,Abu Dhabi,أبوظبي,Abu Dhabi,مدينة الرياض,Madinat Al Riyad, UAE Standard Time,UTC+4,24.3054201,54.7124058
United Arab Emirates,الإمارات العربية المتحدة ,AE,33322,أبوظبي,Abu Dhabi,العين,Al Ain,المسعودي,Al Mas'oudi, UAE Standard Time,UTC+4,24.2707,55.7380196
United Arab Emirates,الإمارات العربية المتحدة ,AE,23687,أبوظبي,Abu Dhabi,أبوظبي,Abu Dhabi,مدينة شخبوط,Shakhbout City, UAE Standard Time,UTC+4,24.3500022,54.6221461
United Arab Emirates,الإمارات العربية المتحدة ,AE,12806,أبوظبي,Abu Dhabi,الغربية,Western,المرير,Al Mirayr, UAE Standard Time,UTC+4,22.9233224,54.3276592
United Arab Emirates,الإمارات العربية المتحدة ,AE,10580,أبوظبي,Abu Dhabi,الغربية,Western,العايف,Al 'Ayif, UAE Standard Time,UTC+4,23.116156,52.6560476
United Arab Emirates,الإمارات العربية المتحدة ,AE,24243,أبوظبي,Abu Dhabi,أبوظبي,Abu Dhabi,مدينة الرياض,Madinat Al Riyad, UAE Standard Time,UTC+4,24.2988355,54.7072051
United Arab Emirates,الإمارات العربية المتحدة ,AE,34634,أبوظبي,Abu Dhabi,العين,Al Ain,الهير,Al Hiyar, UAE Standard Time,UTC+4,24.6156814,55.7994992
United Arab Emirates,الإمارات العربية المتحدة ,AE,73306,رأس الخيمة,Ras Al Khaimah,رأس الخيمة شمال,North Ras Al Khaimah,المعيريض,Al Maireed, UAE Standard Time,UTC+4,25.8090976,55.9610279
United Arab Emirates,الإمارات العربية المتحدة ,AE,73124,رأس الخيمة,Ras Al Khaimah,رأس الخيمة شمال,North Ras Al Khaimah,الشريشة,Al Shurisha, UAE Standard Time,UTC+4,25.8292268,55.9899486
United Arab Emirates,الإمارات العربية المتحدة ,AE,73117,رأس الخيمة,Ras Al Khaimah,رأس الخيمة شمال,North Ras Al Khaimah,جلفار,Julfar, UAE Standard Time,UTC+4,25.8324964,55.995205
United Arab Emirates,الإمارات العربية المتحدة ,AE,12862,أبوظبي,Abu Dhabi,الغربية,Western,المحاضر الشرقية,Eastern Mahadir, UAE Standard Time,UTC+4,23.1276781,53.9149583
United Arab Emirates,الإمارات العربية المتحدة ,AE,22665,أبوظبي,Abu Dhabi,أبوظبي,Abu Dhabi,جزيرة الريم,Al Reem Island, UAE Standard Time,UTC+4,24.49467,54.4099541
United Arab Emirates,الإمارات العربية المتحدة ,AE,10878,أبوظبي,Abu Dhabi,الغربية,Western,بينونة,Baynounah, UAE Standard Time,UTC+4,23.8861701,52.9661563
United Arab Emirates,الإمارات العربية المتحدة ,AE,24400,أبوظبي,Abu Dhabi,أبوظبي,Abu Dhabi,بني ياس,Bani Yas, UAE Standard Time,UTC+4,24.3073252,54.6113677
United Arab Emirates,الإمارات العربية المتحدة ,AE,73304,رأس الخيمة,Ras Al Khaimah,رأس الخيمة شمال,North Ras Al Khaimah,المعيريض,Al Maireed, UAE Standard Time,UTC+4,25.8061142,55.9636276
United Arab Emirates,الإمارات العربية المتحدة ,AE,77801,رأس الخيمة,Ras Al Khaimah,رأس الخيمة شمال,North Ras Al Khaimah,مدينة محمد بن زايد,Mohamed Bin Zayed City, UAE Standard Time,UTC+4,25.4030339,56.067669
United Arab Emirates,الإمارات العربية المتحدة ,AE,25306,أبوظبي,Abu Dhabi,أبوظبي,Abu Dhabi,الصدر,Al Sader, UAE Standard Time,UTC+4,24.7166784,54.6657344
United Arab Emirates,الإمارات العربية المتحدة ,AE,75331,رأس الخيمة,Ras Al Khaimah,رأس الخيمة شمال,North Ras Al Khaimah,سيح البير,Seih Al Beer, UAE Standard Time,UTC+4,25.6766406,56.0217825
United Arab Emirates,الإمارات العربية المتحدة ,AE,10828,أبوظبي,Abu Dhabi,الغربية,Western,الهدوانية,Al Hadwaniyyah, UAE Standard Time,UTC+4,24.0681419,53.3324449
United Arab Emirates,الإمارات العربية المتحدة ,AE,20245,أبوظبي,Abu Dhabi,أبوظبي,Abu Dhabi,ربدان,Rabdan, UAE Standard Time,UTC+4,24.3957312,54.5058549
United Arab Emirates,الإمارات العربية المتحدة ,AE,23863,أبوظبي,Abu Dhabi,أبوظبي,Abu Dhabi,الفلاح,Al Falah, UAE Standard Time,UTC+4,24.4291312,54.7337907
United Arab Emirates,الإمارات العربية المتحدة ,AE,31422,أبوظبي,Abu Dhabi,العين,Al Ain,القسيس,Al Qisees, UAE Standard Time,UTC+4,24.1153061,55.5854748
United Arab Emirates,الإمارات العربية المتحدة ,AE,10087,أبوظبي,Abu Dhabi,الغربية,Western,مدينة زايد,Zayed City, UAE Standard Time,UTC+4,23.6450205,53.7052433
United Arab Emirates,الإمارات العربية المتحدة ,AE,24416,أبوظبي,Abu Dhabi,أبوظبي,Abu Dhabi,بني ياس,Bani Yas, UAE Standard Time,UTC+4,24.2970378,54.6395472
United Arab Emirates,الإمارات العربية المتحدة ,AE,72603,رأس الخيمة,Ras Al Khaimah,رأس الخيمة شمال,North Ras Al Khaimah,سيح العريبي,Seih Al Araibi, UAE Standard Time,UTC+4,25.7873836,55.9964541
United Arab Emirates,الإمارات العربية المتحدة ,AE,33010,أبوظبي,Abu Dhabi,العين,Al Ain,المقام,Al Maqam, UAE Standard Time,UTC+4,24.1792084,55.6174981
United Arab Emirates,الإمارات العربية المتحدة ,AE,22614,أبوظبي,Abu Dhabi,أبوظبي,Abu Dhabi,جزيرة السعديات,Al Saadiyat Island, UAE Standard Time,UTC+4,24.5667309,54.4600273
United Arab Emirates,الإمارات العربية المتحدة ,AE,35605,أبوظبي,Abu Dhabi,العين,Al Ain,العجبان,Al 'Ajban, UAE Standard Time,UTC+4,24.6353579,55.2711222
United Arab Emirates,الإمارات العربية المتحدة ,AE,23251,أبوظبي,Abu Dhabi,أبوظبي,Abu Dhabi,مدينة خليف,Khalifa City, UAE Standard Time,UTC+4,24.3977336,54.5739258
United Arab Emirates,الإمارات العربية المتحدة ,AE,12812,أبوظبي,Abu Dhabi,الغربية,Western,حميم,Hameem, UAE Standard Time,UTC+4,22.9540397,54.2293785
United Arab Emirates,الإمارات العربية المتحدة ,AE,73504,رأس الخيمة,Ras Al Khaimah,رأس الخيمة شمال,North Ras Al Khaimah,النخيل,Al Nakheel, UAE Standard Time,UTC+4,25.7969633,55.9649546
United Arab Emirates,الإمارات العربية المتحدة ,AE,12813,أبوظبي,Abu Dhabi,الغربية,Western,حميم,Hameem, UAE Standard Time,UTC+4,23.0020294,54.2093758
United Arab Emirates,الإمارات العربية المتحدة ,AE,74805,رأس الخيمة,Ras Al Khaimah,رأس الخيمة شمال,North Ras Al Khaimah,عرقوب المزاحمي,Arqoub Al Muzahmi, UAE Standard Time,UTC+4,25.7369548,55.8780363
United Arab Emirates,الإمارات العربية المتحدة ,AE,23630,أبوظبي,Abu Dhabi,أبوظبي,Abu Dhabi,مدينة زايد,Zayed City, UAE Standard Time,UTC+4,24.3591279,54.5658716
United Arab Emirates,الإمارات العربية المتحدة ,AE,33828,أبوظبي,Abu Dhabi,العين,Al Ain,الخزنة,Al Khaznah, UAE Standard Time,UTC+4,24.1747586,55.2028212
United Arab Emirates,الإمارات العربية المتحدة ,AE,79209,رأس الخيمة,Ras Al Khaimah,رأس الخيمة جنوب,South Ras Al Khaimah,المنيعي,Al Muniai, UAE Standard Time,UTC+4,24.9550515,56.1569061
United Arab Emirates,الإمارات العربية المتحدة ,AE,20940,أبوظبي,Abu Dhabi,أبوظبي,Abu Dhabi,السوت,Al Sout, UAE Standard Time,UTC+4,23.7564548,54.7817541
United Arab Emirates,الإمارات العربية المتحدة ,AE,77617,رأس الخيمة,Ras Al Khaimah,رأس الخيمة شمال,North Ras Al Khaimah,أذن,Adhan, UAE Standard Time,UTC+4,25.4560009,56.0024754
United Arab Emirates,الإمارات العربية المتحدة ,AE,72722,,,,,,,,UTC+4,25.7699235,55.9995925
United Arab Emirates,الإمارات العربية المتحدة ,AE,13078,أبوظبي,Abu Dhabi,الغربية,Western,مزيرعة,Mzeerah,,UTC+4,23.0663712,53.8253324
United Arab Emirates,الإمارات العربية المتحدة ,AE,79227,رأس الخيمة,Ras Al Khaimah,رأس الخيمة جنوب,South Ras Al Khaimah,المنيعي,Al Muniai,,UTC+4,24.9707583,56.135937
United Arab Emirates,الإمارات العربية المتحدة ,AE,12845,أبوظبي,Abu Dhabi,الغربية,Western,المحاضر الشرقية,Eastern Mahadir,,UTC+4,23.0801613,54.0585214
United Arab Emirates,الإمارات العربية المتحدة ,AE,75323,رأس الخيمة,Ras Al Khaimah,رأس الخيمة شمال,North Ras Al Khaimah,سيح البير,Seih Al Beer,,UTC+4,25.6744257,56.0120141
United Arab Emirates,الإمارات العربية المتحدة ,AE,24059,أبوظبي,Abu Dhabi,أبوظبي,Abu Dhabi,مدينة الرياض,Madinat Al Riyad,,UTC+4,24.3002379,54.7524695
United Arab Emirates,الإمارات العربية المتحدة ,AE,75335,رأس الخيمة,Ras Al Khaimah,رأس الخيمة شمال,North Ras Al Khaimah,سيح البير,Seih Al Beer,,UTC+4,25.6574101,56.0135128
United Arab Emirates,الإمارات العربية المتحدة ,AE,22807,أبوظبي,Abu Dhabi,أبوظبي,Abu Dhabi,جزيرة الحيل,Al Heel Island,,UTC+4,24.660207,54.5773798
United Arab Emirates,الإمارات العربية المتحدة ,AE,73505,رأس الخيمة,Ras Al Khaimah,رأس الخيمة شمال,North Ras Al Khaimah,النخيل,Al Nakheel,,UTC+4,25.7935035,55.9680667
United Arab Emirates,الإمارات العربية المتحدة ,AE,20930,أبوظبي,Abu Dhabi,أبوظبي,Abu Dhabi,البحوث,Al Bihouth,,UTC+4,24.2451446,54.5735823
United Arab Emirates,الإمارات العربية المتحدة ,AE,72110,رأس الخيمة,Ras Al Khaimah,رأس الخيمة شمال,North Ras Al Khaimah,وادي البيح,Wadi Al Beeh,,UTC+4,25.8238016,56.1131077
United Arab Emirates,الإمارات العربية المتحدة ,AE,77618,رأس الخيمة,Ras Al Khaimah,رأس الخيمة شمال,North Ras Al Khaimah,أذن,Adhan,,UTC+4,25.4565294,56.0131935
United Arab Emirates,الإمارات العربية المتحدة ,AE,73309,رأس الخيمة,Ras Al Khaimah,رأس الخيمة شمال,North Ras Al Khaimah,المعيريض,Al Maireed,,UTC+4,25.8054262,55.9600782
United Arab Emirates,الإمارات العربية المتحدة ,AE,20627,أبوظبي,Abu Dhabi,أبوظبي,Abu Dhabi,مدينة محمد بن زايد,Mohamed Bin Zayed City,,UTC+4,24.345647,54.5440817
United Arab Emirates,الإمارات العربية المتحدة ,AE,76313,رأس الخيمة,Ras Al Khaimah,رأس الخيمة شمال,North Ras Al Khaimah,الرفاعة,Al Riffa,,UTC+4,25.6985886,55.8544924
United Arab Emirates,الإمارات العربية المتحدة ,AE,72601,رأس الخيمة,Ras Al Khaimah,رأس الخيمة شمال,North Ras Al Khaimah,سيح العريبي,Seih Al Araibi,,UTC+4,25.7892506,56.0126106
United Arab Emirates,الإمارات العربية المتحدة ,AE,23807,أبوظبي,Abu Dhabi,أبوظبي,Abu Dhabi,الشوامخ,Al Shawamekh,,UTC+4,24.3697676,54.6614534
United Arab Emirates,الإمارات العربية المتحدة ,AE,30485,أبوظبي,Abu Dhabi,العين,Al Ain,مزيد,Mazyad,,UTC+4,24.0421617,55.84592
United Arab Emirates,الإمارات العربية المتحدة ,AE,24028,أبوظبي,Abu Dhabi,أبوظبي,Abu Dhabi,مدينة الرياض,Madinat Al Riyad,,UTC+4,24.3494294,54.7168293
United Arab Emirates,الإمارات العربية المتحدة ,AE,10078,أبوظبي,Abu Dhabi,الغربية,Western,مدينة زايد,Zayed City,,UTC+4,23.6469895,53.7327081
United Arab Emirates,الإمارات العربية المتحدة ,AE,13070,أبوظبي,Abu Dhabi,الغربية,Western,المحاضر الغربية,Western Mahadir,,UTC+4,23.033347,53.5043703
United Arab Emirates,الإمارات العربية المتحدة ,AE,20906,أبوظبي,Abu Dhabi,أبوظبي,Abu Dhabi,جزيرة الحلاة,Al Halah Island,,UTC+4,24.4435885,54.2290811
United Arab Emirates,الإمارات العربية المتحدة ,AE,34646,أبوظبي,Abu Dhabi,العين,Al Ain,مساكن,Masakin,,UTC+4,24.4915983,55.771444
