postal_code,latitude,longitude,region_1_en,region_2_en,region_3_en,country_code,country_en,timezone,utc
T0A 0R0,54.6099,-112.553,Alberta,Division No. 13,Athabasca County,CA,Canada,America/St_Johns,UTC-2.5
T0A 0T0,54.294,-110.017,Alberta,Division No. 12,Bonnyville No. 87,CA,Canada,America/St_Johns,UTC-2.5
T0A 0Z0,54.0528,-113.0627,Alberta,Division No. 13,Thorhild County,CA,Canada,America/St_Johns,UTC-2.5
T0A 1A0,53.9225,-111.0585,Alberta,Division No. 12,St. Paul County No. 19,CA,Canada,America/St_Johns,UTC-2.5
T0A 1B0,54.502,-112.9026,Alberta,Division No. 13,Athabasca County,CA,Canada,America/St_Johns,UTC-2.5
T0A 1C0,57.9153,-110.5543,Alberta,Division No. 16,Wood Buffalo,CA,Canada,America/St_Johns,UTC-2.5
T0A 1E0,53.8766,-111.577,Alberta,Division No. 12,St. Paul County No. 19,CA,Canada,America/St_Johns,UTC-2.5
T0A 1H0,54.3573,-110.6801,Alberta,Division No. 12,Bonnyville No. 87,CA,Canada,America/St_Johns,UTC-2.5
T0A 1M0,53.9073,-110.4596,Alberta,Division No. 12,Puskiakiwenin 122,CA,Canada,America/St_Johns,UTC-2.5
T0A 1N0,53.9642,-113.2361,Alberta,Division No. 11,,CA,Canada,America/St_Johns,UTC-2.5
T0A 1N1,53.8276,-113.328,Alberta,Division No. 11,,CA,Canada,America/St_Johns,UTC-2.5
T0A 1N2,53.8276,-113.328,Alberta,Division No. 11,,CA,Canada,America/St_Johns,UTC-2.5
T0A 1N3,53.8276,-113.328,Alberta,Division No. 11,,CA,Canada,America/St_Johns,UTC-2.5
T0A 1N4,53.8276,-113.328,Alberta,Division No. 11,,CA,Canada,America/St_Johns,UTC-2.5
T0A 1N4,53.8276,-113.328,Alberta,Division No. 11,,CA,Canada,America/St_Johns,UTC-2.5
T0A 1N5,53.8276,-113.328,Alberta,Division No. 11,,CA,Canada,America/St_Johns,UTC-2.5
T0A 1N6,53.8276,-113.328,Alberta,Division No. 11,,CA,Canada,America/St_Johns,UTC-2.5
T0A 1P0,54.2295,-111.0282,Alberta,Division No. 12,Bonnyville No. 87,CA,Canada,America/St_Johns,UTC-2.5
T0A 1R0,54.2572,-111.7572,Alberta,Division No. 12,White Fish Lake 128,CA,Canada,America/St_Johns,UTC-2.5
T0A 1S0,54.3619,-111.371,Alberta,Division No. 12,Bonnyville No. 87,CA,Canada,America/St_Johns,UTC-2.5
T0A 1S1,54.3833,-111.3667,Alberta,Division No. 12,Bonnyville No. 87,CA,Canada,America/St_Johns,UTC-2.5
T0A 1V0,54.7961,-112.7728,Alberta,Division No. 13,Athabasca County,CA,Canada,America/St_Johns,UTC-2.5
T0A 1X0,54.7712,-111.9546,Alberta,Division No. 12,Lac la Biche County,CA,Canada,America/St_Johns,UTC-2.5
T0A 1Z0,54.6326,-112.3246,Alberta,Division No. 12,Lac la Biche County,CA,Canada,America/St_Johns,UTC-2.5
T0A 2A0,54.4298,-110.9003,Alberta,Division No. 12,Bonnyville No. 87,CA,Canada,America/St_Johns,UTC-2.5
T0A 2B0,54.4467,-112.0968,Alberta,Division No. 12,Smoky Lake County,CA,Canada,America/St_Johns,UTC-2.5
T0A 2C0,54.702,-112.1001,Alberta,Division No. 12,Lac la Biche County,CA,Canada,America/St_Johns,UTC-2.5
T0A 2C1,54.75,-111.9272,Alberta,Division No. 12,Lac la Biche County,CA,Canada,America/St_Johns,UTC-2.5
T0A 2C2,54.7643,-111.9677,Alberta,Division No. 12,Lac la Biche County,CA,Canada,America/St_Johns,UTC-2.5
T0A 2E0,54.5008,-110.5397,Alberta,Division No. 12,Bonnyville No. 87,CA,Canada,America/St_Johns,UTC-2.5
T0A 2G0,53.8896,-111.4657,Alberta,Division No. 12,St. Paul County No. 19,CA,Canada,America/St_Johns,UTC-2.5
T0A 2H0,53.671,-113.4862,Alberta,Division No. 11,,CA,Canada,America/St_Johns,UTC-2.5
T0A 2H1,53.5388,-113.5056,Alberta,Division No. 11,,CA,Canada,America/St_Johns,UTC-2.5
T0A 2J0,53.893,-110.7177,Alberta,Division No. 12,St. Paul County No. 19,CA,Canada,America/St_Johns,UTC-2.5
T0A 2K0,54.2555,-111.4265,Alberta,Division No. 12,St. Paul County No. 19,CA,Canada,America/St_Johns,UTC-2.5
T0A 2L0,54.3055,-111.722,Alberta,Division No. 12,St. Paul County No. 19,CA,Canada,America/St_Johns,UTC-2.5
T0A 2N0,53.7444,-113.5325,Alberta,Division No. 11,,CA,Canada,America/St_Johns,UTC-2.5
T0A 2P0,54.3271,-112.9511,Alberta,Division No. 13,Thorhild County,CA,Canada,America/St_Johns,UTC-2.5
T0A 2R0,54.0098,-113.2984,Alberta,Division No. 13,Thorhild County,CA,Canada,America/St_Johns,UTC-2.5
T0A 2T0,54.8369,-112.4589,Alberta,Division No. 13,Athabasca County,CA,Canada,America/St_Johns,UTC-2.5
T0A 2V0,54.081,-112.9883,Alberta,Division No. 13,Thorhild County,CA,Canada,America/St_Johns,UTC-2.5
T0A 2W0,54.0168,-113.0875,Alberta,Division No. 13,Thorhild County,CA,Canada,America/St_Johns,UTC-2.5
T0A 2W1,53.5507,-113.5338,Alberta,Division No. 11,,CA,Canada,America/St_Johns,UTC-2.5
T0A 2Y0,54.0534,-111.5265,Alberta,Division No. 12,St. Paul County No. 19,CA,Canada,America/St_Johns,UTC-2.5
T0A 2Z0,54.8333,-111.7438,Alberta,Division No. 12,Lac la Biche County,CA,Canada,America/St_Johns,UTC-2.5
T0A 3A0,53.995,-111.3013,Alberta,Division No. 12,,CA,Canada,America/St_Johns,UTC-2.5
T0A 3A1,53.985,-111.3177,Alberta,Division No. 12,,CA,Canada,America/St_Johns,UTC-2.5
T0A 3A2,53.9898,-111.2735,Alberta,Division No. 12,,CA,Canada,America/St_Johns,UTC-2.5
T0A 3A3,53.9863,-111.2795,Alberta,Division No. 12,,CA,Canada,America/St_Johns,UTC-2.5
T0A 3A4,53.9884,-111.2948,Alberta,Division No. 12,,CA,Canada,America/St_Johns,UTC-2.5
